plantid,timestamp,mature,rank_phenomenal,rank_tracking,rank_annotation,h,l,a,l_extended
1424,1495051493,False,6,7,-1,-158.0,970.786900770474,-125.88710022844529,1149.7827945113202
1424,1495051493,False,7,8,-1,-118.0,1062.329863097671,61.648488576902565,1247.2263517206293
1424,1495051493,False,8,10,-1,118.0,828.2337462891583,10.584526963762634,982.8155118807662
1424,1495051493,False,9,12,-1,134.0,521.8534906291151,34.011348903506025,543.7118160071515
1424,1495051493,False,10,9,-1,18.0,980.0835152115825,-148.44538237311713,1177.6615685374372
1424,1495051493,False,11,11,-1,178.0,724.6940940452389,-104.62087398863166,771.3662181518895
1424,1495137914,True,1,2,-1,-686.0,56.2842712474619,-20.37643521383639,141.36215052241434
1424,1495137914,True,2,3,-1,-582.0,309.34822799121616,153.5281884143551,320.72840766384627
1424,1495137914,True,3,4,-1,-474.0,480.38744109637304,62.261174414166675,500.8147263869961
1424,1495137914,True,4,5,-1,-374.0,685.4611736937617,-151.61941383026834,837.9700283293047
1424,1495137914,True,5,6,-1,-214.0,751.379308534899,48.62023254536111,1008.1379172206591
1424,1495137914,True,6,7,-1,-214.0,962.4393554824175,-124.48830092337072,1124.2565372953356
1424,1495137914,False,7,8,-1,-122.0,1033.6109726657694,58.26488368430287,1197.869207808379
1424,1495137914,False,8,10,-1,-26.0,909.2861122426026,-15.893346521809997,976.3796463132753
1424,1495137914,False,9,12,-1,134.0,576.720330538536,66.2051646201222,592.0056479001091
1424,1495137914,False,10,9,-1,18.0,1055.3935516964077,-150.82995273986054,1201.3080101014111
1424,1495137914,False,11,11,-1,222.0,607.3292434800572,-138.70054305517834,608.5680002169536
1424,1495223835,True,1,2,-1,-682.0,54.62741699796953,-11.164880177548593,158.49989362871816
1424,1495223835,True,2,3,-1,-582.0,300.98901356098486,154.93088943730376,331.8266014110962
1424,1495223835,True,3,4,-1,-474.0,481.0737325973883,62.035898774422506,506.53440657956276
1424,1495223835,True,4,5,-1,-374.0,788.658687171792,-149.41423518304296,799.5358210719705
1424,1495223835,True,5,6,-1,-222.0,900.2735637456102,48.6576932625261,976.6313725601823
1424,1495223835,True,6,7,-1,-222.0,1069.462124227711,-122.77106932764265,1163.087835045475
1424,1495223835,False,7,8,-1,-86.0,1047.8363694101856,59.72398466244686,1159.3868774663538
1424,1495223835,False,8,10,-1,-26.0,896.1431955898826,-31.541662863864175,992.6117711608498
